LIC PLATE,CountryFull,INSEE,DRIVER LICENCE,ITIN,PASSPORT,FIN,DRIVER LICENSE,Firm Name,TropicalZodiac
70781,Canada,1341879527093,UT1476884666390,951-72-6403,gD49slNqM4,H1057,1012167289,Al Mouwasat Hospital Qatif KSA,Libra
11302516,Hungary,7401042558444,CH78-49061066373,962-84-1914,dJD2MDIeU 2,W0525,8663744003,V.A. Illiana Health Care System,Sagittarius
161764,Finland,92882725741 21,PB4313726698699,915-998911,NACLUgM4Z7,W3980,7056141846,Charleston Area Medical Center Women & Childrens Hospital,Cancer
9G1JH4U,Portugal,26526328603 06,AS32-40354395977,975946033,mnVyZgjep 3,W0627,1518575317,Waterbury Hospital Blood Bank,Cancer
7957482,New Zealand,8848779412718,PY8696778997093,928-908192,aEyEY8qCV3,W2188,8912807520,"WE & Lela I Stewart Blood Ctr, Inc dba Stewart Reg Bld Ctr",Gemini
5BVZJ4N,Austria,97005496906 97,LD98 08501083644,902-76-3722,wSWZN6ImP7,W4033,8561109160,AHS Southcrest Hospital LLC,Aries
3307876,Estonia,37884137055 15,NL1459274473352,933-815207,F7bFpeTAT 3,T0072,1220168175,Turkish Red Crescent - Kirikkale Blood Center,Gemini
531276,Hungary,9946313340768,UT17-18411750702,921-97-8387,UY9bS4xFD 5,W0595,1436883199,University of Tennessee Memorial Hospital Blood Bank,Aries
8682793,Greenland,26352694011 03,DN24-78235641566,928-908192,P4X73i0vY3,W2549,2592163205,Lovelace Medical Center,Scorpio
74493837,South Africa,4631044550301,JK49-36047710841,998-90-8098,zUorZ8401 0,W4334,8402826673,Roger Williams Medical Center,Aries
8350041,Uruguay,2609007071924,JH6183077481235,935-927895,oJJeJt4yR5,Y3012,9294232281,Hwange Clinic 14,Scorpio
256191,United Kingdom,61373414653 36,PB34-51026188080,951-81-0005,kTMUDgEwG 4,E0018,4510029328,Banco de Sangre Y Tejidos de Aragon,Virgo
378743,Australia,87017500265 03,UT4138617078591,933-815207,H4RmvaZYI 0,W3919,8494716743,Alton Memorial Hospital Blood Bank,Gemini
67379,Portugal,47275585721 02,JK0104381738688,999-836645,cJjeEoUy73,B3158,8909033173,Posto De Coleta Instituto Dr. Jose Frota,Scorpio
61282,United States,2817892223770,KA61 40258177676,908712540,6vjGxpZNb 5,W2422,2921723122,Alfred I.DuPont Hospital for Children,Libra
4106,Slovenia,56623730112 47,DN59-20474498587,926-982739,WPo3QyRkW7,W3660,4918197223,JFK Medical Center North Campus,Taurus
7639,Germany,46112347198 12,ML6017132495044,951-888271,D4hefOt3b0,W3709,4622388658,"Lea Regional Hospital, LLC",Leo
RXO 1WR5,Poland,14675402330 34,TR8858078242231,945-832661,aECKzJcAh 9,W4146,5048321903,"Vivorte, Inc.",Cancer
21234,Portugal,6597141687394,PB72-36101196162,953-973027,pATrY8I32 0,C0704,8376696666,Canadian Plasma Resources Corporation,Aries
7877,Germany,4700877834818,TG8129539811077,999-889022,bzsQekrtn3,B3270,5015046013,Nucleo De Hemoterapia De Cajazeiras,Aries
20859,Norway,6405774566881,MZ58 89120210126,963-79-7974,3saoZxLq51,T0055,8835311360,Turkish Red Cresent - MIJS Blood Center,Capricorn
32070,Poland,09885698532 87,MH9370522859546,951-888271,E3jkpsVgi2,W2875,8095413608,LifeSource Lansing,Capricorn
797165,Netherlands,0400812035561,MH67 55142698667,997992385,QjSm3WGUY8,C0107,3119622971,Fraser Health-LMH,Aquarius
4045164,Denmark,8675652668150,LD2715933086933,941-72-1561,BS3gxf6nE 5,B3426,5399682,Associacao Beneficente De Coleta De Sangue-Colsan,Gemini
46835,Hungary,6183239165444,NL7701589587071,979-80-0968,vrk0bYE2r6,W2283,9658600014,Henrietta Egleston Children's Hospital,Capricorn
J22-YRH7Z,Uruguay,66757651983 18,AR91-65796426030,958-715105,5lKdf3vBz2,W4352,9243030992,OhioHealth Grove City Methodist Hospital,Gemini
2SVLW5,Brazil,50900369074 34,UP52-47255944472,980723175,Z96F8oirS 6,W2795,1455911058,"Ogden Medical Center, Inc.",Aquarius
456381,Greenland,26343504457 73,AN9714147465254,951-72-6403,vqTLsShR7 0,W0899,6653082570,Inova Alexandria Hospital,Aquarius
4808209,Canada,40353658158 97,GJ37 63938695003,945-832661,GOKuZMzDK5,W2303,8702416703,Portsmouth Regional Hospital,Virgo
7833726,Tunisia,3004349975743,WB4488418015091,936-763342,5d99NjMBl2,W3470,4338587595,"Kaiser Foundation Hospital, Vallejo",Virgo
69086,France,8025579400042,WB6376301016117,968-990038,RbvXZMr9r4,B3324,3295635056,Hemonucleo De Barra Mansa,Aries
740039,Sweden,4390122236638,DD24 00952586210,924-98-4445,MbIVXuzpH 8,Z4105,3082628361,Regional Science and Technology Centre,Taurus
1965,Tunisia,76811881179 58,UT35-47842990018,986-96-7668,BsEm5NH5e5,R1006,1990570067,Centrul De Transfuzie Sanguina Calarasi,Aries
9782,Italy,45428923528 39,PB9697447258255,945-981530,hO4yIpoZw 7,W2705,3783264293,Camden Clark Medical Center,Aries
335338,Australia,94156625837 15,TN49 09237921325,922-788277,XcDCwcvFm 6,C0589,4192402190,Canadian Blood Services,Pisces
8659593,Norway,74644819771 62,JH11-56899086601,915-998911,N3uU39mvl 6,W2653,2195058813,Cottonwood Hospital,Virgo
670844,South Africa,10609790937 58,KA6288234955551,984-82-9656,lYL2gOubE3,W3115,1449141272,Cleveland Clinic Martin Health,Aries
4260546,Cyprus (Anglicized),96314160477 31,PB7592704311956,941-72-1561,vn1DEeChi7,S2713,6227617096,Parkway Laboratory Services Ltd,Pisces
1313,Cyprus (Greek),59846167076 54,HR71 10913041594,943-913795,bCipxxuc5 9,W1103,1149384626,Santa Barbara Cottage Hospital,Gemini
1379,Netherlands,33243866122 41,JK43-45947869056,979-80-0968,vr42oCG0P7,Z5452,4143694801,Medigen Diagnostyka Moleknlarna,Pisces
CUH 5NW3K,Slovenia,2194531741081,MH5469650833591,951-72-6403,u6jin22la 1,W3525,2679842464,Beaumont Hospital Grosse Pointe,Taurus
15899668,Norway,71385933538 07,AS78-06916621164,925-72-9297,PC2ER3q2G9,H1043,6306489513,Prince Sultan Military Medical City,Aquarius
NCX 5MSK,Czech Republic,92015329180 57,HP4607709837122,933-815207,C2jOfSA7p 6,V0031,1378193781,"Klinisk Immunologisk afdeling, Holbaek",Capricorn
97056862,Switzerland,45490170124 94,TG0859243731537,917-82-8099,U9xeqcMqx3,B3601,4270124878,Banco de Sangue de Caxias do Sul-Filial Hospital Moinhos de Vento,Taurus
016613,Slovenia,3979323754732,TR1378372814746,994-811317,Krqq1Hmys3,V0155,3061813786,"Funen Trf Srv, Dept of Clinical Immunology, Odense Univ Hosp",Pisces
1V6DSCCS,Belgium,50307789997 77,RJ2703754140655,921-97-8387,iYPWcesYz0,W4261,1782957618,Kishwaukee Community Hospital,Capricorn
06282182,Canada,7195805629051,DD4982685720461,959767913,LU69jPbKW7,W2016,6832213959,American National Red Cross (The),Virgo
91500,Czech Republic,6243380298732,UP1232101118570,919-90-5864,xMDFLl2fK8,W0783,8621529793,Fairview Park Hospital,Cancer
MMO 7JXC,Sweden,8986305664981,KA09 80648151370,964830793,yq95yiACs 4,W3721,6406866664,Veterans Affairs Medical Center #113,Aries
618200,Belgium,91979225608 08,NL42 11465250575,955-76-7598,gmwzmNIyV3,W1561,6333793234,Columbia North Houston Medical Center,Aquarius
98228117,Hungary,57449864613 64,AR29-17868546513,916-79-9613,R38UdcXqS4,W4041,2977366194,Dist 2A-1 dba Western Texas Lions Eye Bank Alliance,Taurus
480483,Greenland,8439310174139,AP8372982109422,921-97-8387,fOwRbpmnf4,W3287,4731810111,Alpena Regional Medical Center,Virgo
JGD 03X,Hungary,14870435836 35,UT5829912701254,962-84-1914,qkgOq9ajP5,Z4439,1062994177,Uniwersytecki Szpital Kliniczny w Bialymstoku,Taurus
418927,Belgium,71126497807 22,AR79 39053314850,947-92-4348,HA4TRdWGh9,C0712,56475576,"Scarborough Health Network, General Hospital",Libra
897820,Greenland,8287040856793,GJ8547892111399,916-79-9613,MqwHhJytT7,W4421,8874715965,Lehigh Valley Hospital Hazleton,Taurus
3584559,Germany,42181345358 62,BR50-08643853358,933-815207,D3OvHtN7F 8,W3202,6727598314,Knapp Medical Center,Scorpio
8871,Netherlands,87900378166 30,KL92 09402238552,968-990038,ZDZACUPA4 4,W0520,6216398431,Mount Auburn Hospital Blood Bank,Capricorn
70179,France,98708594128 77,RJ9798323765024,955-85-6034,XoI5OI2Ve7,U2402,1304880828,Sheikh Khalifa Bin Zayed Hospital,Taurus
6545142,Australia,35635604469 64,DD25 71153876869,919-816789,OoPR84TXn 7,J3002,8769293553,Dr. Ziauddin Hospital,Virgo
87687391,Greenland,9371274860731,RJ3691757754680,919-816789,BRg6PdCeX 3,W3978,4143694801,Huron Medical Center,Pisces
07142430,Cyprus (Anglicized),2691061522207,MH9047338057878,965852327,z7wJGdMAM8,W4449,8099979488,Baylor Scott and White Medical Center - Austin,Aries
8HEWQ4H,Czech Republic,6172690259174,NL96-22812369819,963-79-7974,aqWXQDdOQ 1,W4556,5535406815,Houston Methodist Ann Kimball & John W. Johnson Center for Cellular Therapeutics,Scorpio
2855,Brazil,4503574940729,BR6118559336100,951-718481,xuyQXQrnc2,W4273,5471021797,"Minaris Regenerative Medicine, LLC",Virgo
4865016,Poland,85524423222 37,HR22-04793513593,986-96-7668,KeOWSuIC8 4,B3208,8057569272,Unidade De Coleta E Transfusao HJK-Belo Horizonte,Capricorn
819721,United States,6468763083227,WB0809713191581,974772845,jH3Qi3ltv1,W1069,8211205956,Kaiser Foundation Hospital LAMC Labor,Leo
958654,Australia,6844943374104,LD64 86327926272,922-788277,4mvKW3ezW 9,W4109,4022536977,New Mexico Lions Eye Bank / KeraLink - Southwest,Taurus
295482,Finland,01695702855 72,NL89-33955279163,983-770253,Al6kfrPt47,B3289,365112345,Centro De Hematologia E Hemoterapia Do Piaui-Hemopi,Pisces
TCS-I01,Norway,5457019411876,MZ7034226929495,999-889022,noKCIzGgp 1,W4222,5690313630,University of Miami Hospital and Clinics Sylvester Comprehensive Cancer Center,Leo
9745,Tunisia,31878081303 78,TN3442817141607,974772845,7gVggaGxT 8,W0881,7854874934,HemaCare Corporation,Gemini
15804,Germany,2535145629916,KL43 20948791081,908712540,3K2qVnaeb 4,W1430,1426212716,Sibley Memorial Hospital,Leo
06516625,Sweden,9687874866412,HR22-04793513593,947-92-4348,ryGPsTmIb 4,B3363,7493122928,Fundacao De Hemoterapia Do Estado De Rondonia/Fhemeron,Gemini
7293462,Brazil,4829509716343,ML39 62294049033,940-73-8969,LRGO4mpPe 0,W1615,380122261,Bay Area Healthcare Group LTD,Capricorn
8934,Cyprus (Anglicized),0777799938874,GJ04 16714832315,998-90-8098,tqlh1fleI6,W2589,7140526086,"Phoenixville Hospital, LLC",Libra
11390533,Cyprus (Greek),7124800053566,CT46-58606832044,936-763342,qFNsLEiL79,W2138,7244992221,University Medical Center Management Corporation,Leo
2146,Cyprus (Anglicized),20635846932 40,DL1211006625902,917-71-5652,WDLZfSG3o 7,A5948,1315333960,"Alfred Pathology Service, Alfred Hospital",Leo
02618,France,4142903945754,AS6580594629143,924-78-9881,7qVD4gSs3 0,W1200,447883417,Bothwell Regional Health Center,Gemini
UWG-96C,United States,9998667799174,DL8617940922742,960-70-3274,JnStIabl30,A0156,4349538844,Privatklinik Doebling,Taurus
